Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-12-11,120.0,120.0,108.65,109.1,109.55,48600.0,54.18
2012-12-10,114.0,115.9,113.55,113.55,114.1,19268.0,21.98
2012-12-07,116.6,116.6,112.5,114.25,113.65,26497.0,30.14
2012-12-06,118.0,119.85,112.0,114.4,114.55,32233.0,36.9
2012-12-05,114.0,120.5,114.0,117.45,117.35,102690.0,121.18
2012-12-04,111.2,117.0,109.85,113.8,114.3,62633.0,71.63
2012-12-03,112.1,114.0,111.25,112.0,111.85,19331.0,21.66
2012-11-30,112.6,114.75,111.5,111.6,111.7,27903.0,31.41
2012-11-29,109.05,115.5,109.0,112.3,112.35,120323.0,136.25
2012-11-27,108.8,110.5,107.55,109.05,109.15,25909.0,28.29
2012-11-26,108.0,111.9,105.6,107.65,108.15,29986.0,32.6
2012-11-23,110.1,110.7,106.0,107.0,107.45,48470.0,52.48
2012-11-22,108.0,109.8,107.3,109.0,108.3,22732.0,24.64
2012-11-21,105.15,109.0,104.55,108.0,108.2,31747.0,33.96
2012-11-20,107.5,108.45,103.8,105.6,105.8,17425.0,18.45
2012-11-19,108.0,108.65,106.0,106.5,106.95,18193.0,19.54
2012-11-16,111.05,113.65,106.0,107.5,107.85,23273.0,25.66
2012-11-15,113.5,114.25,109.0,111.7,110.65,19892.0,22.17
2012-11-13,113.8,114.8,113.15,114.15,114.0,9156.0,10.44
2012-11-12,113.8,115.2,110.25,112.5,112.65,30238.0,34.17
2012-11-09,112.95,117.95,110.25,112.9,112.75,182850.0,209.5
2012-11-08,111.0,113.0,106.3,106.35,107.8,74293.0,82.06
2012-11-07,100.5,111.75,100.0,111.55,109.55,46884.0,50.92
2012-11-06,103.5,104.5,102.6,103.25,103.05,7459.0,7.72
2012-11-05,105.0,105.0,102.7,103.5,103.4,17435.0,18.06
2012-11-02,106.6,107.0,104.0,104.0,105.45,54777.0,57.89
2012-11-01,104.5,106.75,103.7,105.3,105.6,13753.0,14.48
2012-10-31,103.6,106.5,102.2,106.5,105.2,10398.0,10.83
2012-10-30,106.9,108.0,102.9,105.0,104.0,11385.0,11.97
2012-10-29,109.1,111.75,104.5,105.5,105.15,27459.0,29.51
2012-10-26,115.8,117.0,108.0,108.05,108.7,17699.0,19.45
2012-10-25,113.75,117.7,113.05,113.7,113.45,34163.0,39.28
2012-10-23,110.0,115.4,108.1,113.75,113.6,78918.0,89.28
2012-10-22,105.35,109.7,104.95,109.0,108.15,17146.0,18.4
2012-10-19,106.5,112.05,104.1,105.4,105.2,18107.0,19.45
2012-10-18,105.1,108.8,101.65,108.8,107.05,32545.0,34.06
2012-10-17,108.25,110.0,101.35,105.25,105.25,33134.0,34.92
2012-10-16,110.0,111.65,107.3,108.65,108.15,16321.0,17.95
2012-10-15,111.0,113.0,108.65,109.9,109.75,10685.0,11.78
2012-10-12,111.1,116.0,110.05,111.8,111.65,20452.0,23.06
2012-10-11,112.9,114.5,109.35,110.55,111.0,50434.0,56.0
2012-10-10,118.4,122.9,112.5,112.5,113.0,26528.0,30.54
2012-10-09,122.35,124.9,117.35,118.75,119.0,34030.0,41.15
2012-10-08,122.5,126.0,119.5,120.25,120.65,37665.0,46.26
2012-10-05,130.5,130.7,116.35,122.25,122.9,75739.0,92.28
2012-10-04,129.0,130.0,120.75,128.3,127.65,177081.0,224.57
2012-10-03,115.7,124.45,115.0,120.65,120.45,274047.0,330.24
2012-10-01,104.0,118.0,103.95,114.0,114.35,364440.0,410.03
2012-09-28,101.9,103.2,99.65,102.0,102.2,35406.0,36.1
2012-09-27,101.1,101.5,99.2,99.75,99.65,13282.0,13.31
2012-09-26,103.8,103.9,100.0,100.6,101.5,33686.0,34.7
2012-09-25,102.85,102.85,98.0,99.55,99.95,56416.0,56.34
2012-09-24,100.0,103.0,96.25,99.95,100.0,65502.0,65.52
2012-09-21,94.25,98.4,94.0,98.4,97.65,54828.0,53.09
2012-09-20,93.0,94.1,92.1,93.55,93.6,19996.0,18.75
2012-09-18,92.55,95.0,92.0,94.1,93.1,21081.0,19.74
